Year,Month,Index
1746,Sep,2.693137669
1746,Oct,2.752205043
1746,Nov,2.735090149
1746,Dec,2.735683516
1747,Jan,2.654549005
1747,Feb,2.620340099
1747,Mar,2.713199275
1747,Apr,2.654589653
1747,May,2.670335058
1747,Jun,2.646063469
1747,Jul,2.609674461
1747,Aug,2.613165517
1747,Sep,2.629269779
1747,Oct,2.604540559
1747,Nov,2.555434117
1747,Dec,2.495949248
1748,Jan,2.764791275
1748,Feb,2.808625779
1748,Mar,2.887195182
1748,Apr,2.845011307
1748,May,2.831119699
1748,Jun,2.845820916
1748,Jul,2.800963213
1748,Aug,2.819872494
1748,Sep,2.787029509
1748,Oct,2.806959843
1748,Nov,2.819255016
1748,Dec,2.841408041
1749,Jan,2.831395659
1749,Feb,2.997598944
1749,Mar,3.003232266
1749,Apr,3.013986866
1749,May,3.059351615
1749,Jun,3.071206258
1749,Jul,3.035001845
1749,Aug,2.937099633
1749,Sep,2.945299158
1749,Oct,2.953953623
1749,Nov,2.944658201
1749,Dec,2.945876603
1750,Jan,2.915250466
1750,Feb,2.940642294
1750,Mar,2.969973584
1750,Apr,2.948444996
1750,May,2.961357346
1750,Jun,2.974828297
1750,Jul,2.967646897
1750,Aug,2.989933806
1750,Sep,2.990456243
1750,Oct,2.959213844
1750,Nov,2.958815276
1750,Dec,3.005721711
1751,Jan,3.004392712
1751,Feb,3.052883475
1751,Mar,3.091775844
1751,Apr,2.991980508
1751,May,3.036811451
1751,Jun,3.063499144
1751,Jul,3.03576076
1751,Aug,3.075252692
1751,Sep,3.08838436
1751,Oct,3.086339921
1751,Nov,3.069316854
1751,Dec,3.087094718
1752,Jan,3.099138709
1752,Feb,3.140343656
1752,Mar,3.168782272
1752,Apr,3.149574069
1752,May,3.145258594
1752,Jun,3.180970418
1752,Jul,3.152167064
1752,Aug,3.16065779
1752,Sep,3.191995003
1752,Oct,3.156182547
1752,Nov,3.148543138
1752,Dec,3.148428135
1753,Jan,3.129280544
1753,Feb,3.134315299
1753,Mar,3.134293138
1753,Apr,3.113835579
1753,May,3.092668979
1753,Jun,3.103381261
1753,Jul,3.070532248
1753,Aug,3.088988713
1753,Sep,3.09909802
1753,Oct,3.051622891
1753,Nov,3.032898006
1753,Dec,3.01761821
1754,Jan,3.041449462
1754,Feb,3.051319448
1754,Mar,3.064624523
